Input Data,

,
Material Data,

,
matID,Soft PE80
density,938
eDyn0degC,2.62
dEdyndT,-0.037
creepModulus,0.3
poisson,0.38

,
Pipe Data,

,
pipeID,250mm_SDR11
diameter,250
sdr,11
notchDepth,0
diameterCreepRatio,1

,
Test Setup Data,

,
fullScale,2
tempDegC,0
p0bar,5
isBackfilled,2
backfillDepth,100
backfillDensity,2200
solidInsidePipe,0.25
waterInsidePipe,0.25

,
Program Control Data,

,
outflowModelOn,2
lambda,3
solutionmethod,2
numberOfSpeedValues,50
elementsInL,10
aDotc0,0.5

,
Log number,aDotc0,Irwin Corten Force,diameterRes0,residualCrackClosure,densityratio,zetaclosure,nodeAtClosure,outflowLength,p1bar,v0,vStarRes,factor,aDotCLfactor,aDotcClfactor_backfilled,maxIterations,iterations,m[0],m[1],alpha[0],alpha[1],error,notConverged,pStarUnchoke,xUnch,pHalfStar,pStar,tStar,tStarUnchoke,simpsonIntegral,unchoked,tStarOutflow2

,
1,0,0,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,0.689812,0,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,0,0.689812,250,0,12.589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,0.02,0.689812,250,0,12.589,2,20,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,0.02,0.689812,250,0,12.589,2,20,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,0,6.60879,6.60998,0.838365,0.812568,0,1,0,0,0,0,0,0,0,0,0
7,0.02,0.689812,250,0,12.589,2,23,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,1,6.60879,6.60998,0.838365,0.812568,0.196326,1,0,0,0,0,0,0,0,0,0
8,0.02,0.689812,250,0,12.589,2,24,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,2,6.60879,6.60998,0.838365,0.812568,0.171341,1,0,0,0,0,0,0,0,0,0
9,0.02,0.689812,250,0,12.589,2,25,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,3,6.60879,6.60998,0.838365,0.812568,0.147753,1,0,0,0,0,0,0,0,0,0
10,0.02,0.689812,250,0,12.589,2,26,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,4,6.60879,6.60998,0.838365,0.812568,0.125645,1,0,0,0,0,0,0,0,0,0
11,0.02,0.689812,250,0,12.589,2,27,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,5,6.60879,6.60998,0.838365,0.812568,0.1051,1,0,0,0,0,0,0,0,0,0
12,0.02,0.689812,250,0,12.589,2,28,3,0.721942,0.175565,0,1.33413,1.00002,1.0002,50,6,6.60879,6.60998,0.838365,0.812568,0.086198,1,0,0,0,0,0,0,0,0,0
